name,planning_horizon,region,carrier,min,max
reeds_nuclear_no_build,all,OR,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,CA,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,MN,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,NJ,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p128,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p129,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p131,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p132,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p133,"nuclear, SMR",,existing
reeds_nuclear_no_build,all,p134,"nuclear, SMR",,existing
reeds_forced_retirements,2028,VA,biomass,,0
reeds_forced_retirements,2024,VA,coal,,0
reeds_forced_retirements,2024,VA,coal-95CCS,,0
reeds_forced_retirements,2045,VA,CCGT,,0
reeds_forced_retirements,2045,VA,OCGT,,0
reeds_forced_retirements,2045,VA,oil,,0
reeds_forced_retirements,2045,IL,coal,,0
reeds_forced_retirements,2045,IL,coal-95CCS,,0
reeds_forced_retirements,2045,IL,CCGT,,0
reeds_forced_retirements,2045,IL,OCGT,,0
reeds_forced_retirements,2045,IL,oil,,0
reeds_forced_retirements,2040,NY,coal,,0
reeds_forced_retirements,2040,NY,coal-95CCS,,0
reeds_forced_retirements,2040,NY,CCGT,,0
reeds_forced_retirements,2040,NY,OCGT,,0
reeds_forced_retirements,2040,NY,oil,,0
reeds_storage_mandate,2019,CA,4hr_battery_storage,309.8,
reeds_storage_mandate,2020,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2021,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2022,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2023,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2024,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2025,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2026,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2027,CA,4hr_battery_storage,1325,
reeds_storage_mandate,2028,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2029,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2030,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2031,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2032,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2033,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2034,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2035,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2036,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2037,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2038,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2039,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2040,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2041,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2042,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2043,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2044,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2045,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2046,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2047,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2048,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2049,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2050,CA,4hr_battery_storage,2325,
reeds_storage_mandate,2019,MA,4hr_battery_storage,50,
reeds_storage_mandate,2020,MA,4hr_battery_storage,50,
reeds_storage_mandate,2021,MA,4hr_battery_storage,50,
reeds_storage_mandate,2022,MA,4hr_battery_storage,50,
reeds_storage_mandate,2023,MA,4hr_battery_storage,50,
reeds_storage_mandate,2024,MA,4hr_battery_storage,50,
reeds_storage_mandate,2025,MA,4hr_battery_storage,50,
reeds_storage_mandate,2026,MA,4hr_battery_storage,50,
reeds_storage_mandate,2027,MA,4hr_battery_storage,50,
reeds_storage_mandate,2028,MA,4hr_battery_storage,50,
reeds_storage_mandate,2029,MA,4hr_battery_storage,50,
reeds_storage_mandate,2030,MA,4hr_battery_storage,50,
reeds_storage_mandate,2031,MA,4hr_battery_storage,50,
reeds_storage_mandate,2032,MA,4hr_battery_storage,50,
reeds_storage_mandate,2033,MA,4hr_battery_storage,50,
reeds_storage_mandate,2034,MA,4hr_battery_storage,50,
reeds_storage_mandate,2035,MA,4hr_battery_storage,50,
reeds_storage_mandate,2036,MA,4hr_battery_storage,50,
reeds_storage_mandate,2037,MA,4hr_battery_storage,50,
reeds_storage_mandate,2038,MA,4hr_battery_storage,50,
reeds_storage_mandate,2039,MA,4hr_battery_storage,50,
reeds_storage_mandate,2040,MA,4hr_battery_storage,50,
reeds_storage_mandate,2041,MA,4hr_battery_storage,50,
reeds_storage_mandate,2042,MA,4hr_battery_storage,50,
reeds_storage_mandate,2043,MA,4hr_battery_storage,50,
reeds_storage_mandate,2044,MA,4hr_battery_storage,50,
reeds_storage_mandate,2045,MA,4hr_battery_storage,50,
reeds_storage_mandate,2046,MA,4hr_battery_storage,50,
reeds_storage_mandate,2047,MA,4hr_battery_storage,50,
reeds_storage_mandate,2048,MA,4hr_battery_storage,50,
reeds_storage_mandate,2049,MA,4hr_battery_storage,50,
reeds_storage_mandate,2050,MA,4hr_battery_storage,50,
reeds_storage_mandate,2023,MD,4hr_battery_storage,7,
reeds_storage_mandate,2024,MD,4hr_battery_storage,306.3,
reeds_storage_mandate,2025,MD,4hr_battery_storage,605.6,
reeds_storage_mandate,2026,MD,4hr_battery_storage,904.9,
reeds_storage_mandate,2027,MD,4hr_battery_storage,1204.2,
reeds_storage_mandate,2028,MD,4hr_battery_storage,1503.5,
reeds_storage_mandate,2029,MD,4hr_battery_storage,1802.8,
reeds_storage_mandate,2030,MD,4hr_battery_storage,2102.1,
reeds_storage_mandate,2031,MD,4hr_battery_storage,2401.4,
reeds_storage_mandate,2032,MD,4hr_battery_storage,2700.7,
reeds_storage_mandate,2033,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2034,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2035,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2036,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2037,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2038,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2039,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2040,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2041,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2042,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2043,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2044,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2045,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2046,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2047,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2048,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2049,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2050,MD,4hr_battery_storage,3000,
reeds_storage_mandate,2024,MI,4hr_battery_storage,2145,
reeds_storage_mandate,2025,MI,4hr_battery_storage,2204.166667,
reeds_storage_mandate,2026,MI,4hr_battery_storage,2263.333333,
reeds_storage_mandate,2027,MI,4hr_battery_storage,2322.5,
reeds_storage_mandate,2028,MI,4hr_battery_storage,2381.666667,
reeds_storage_mandate,2029,MI,4hr_battery_storage,2440.833333,
reeds_storage_mandate,2030,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2031,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2032,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2033,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2034,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2035,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2036,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2037,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2038,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2039,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2040,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2041,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2042,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2043,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2044,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2045,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2046,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2047,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2048,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2049,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2050,MI,4hr_battery_storage,2500,
reeds_storage_mandate,2019,NJ,4hr_battery_storage,300,
reeds_storage_mandate,2020,NJ,4hr_battery_storage,600,
reeds_storage_mandate,2021,NJ,4hr_battery_storage,755.6,
reeds_storage_mandate,2022,NJ,4hr_battery_storage,911.1,
reeds_storage_mandate,2023,NJ,4hr_battery_storage,1066.7,
reeds_storage_mandate,2024,NJ,4hr_battery_storage,1222.2,
reeds_storage_mandate,2025,NJ,4hr_battery_storage,1377.8,
reeds_storage_mandate,2026,NJ,4hr_battery_storage,1533.3,
reeds_storage_mandate,2027,NJ,4hr_battery_storage,1688.9,
reeds_storage_mandate,2028,NJ,4hr_battery_storage,1844.4,
reeds_storage_mandate,2029,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2030,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2031,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2032,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2033,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2034,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2035,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2036,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2037,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2038,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2039,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2040,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2041,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2042,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2043,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2044,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2045,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2046,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2047,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2048,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2049,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2050,NJ,4hr_battery_storage,2000,
reeds_storage_mandate,2022,NV,4hr_battery_storage,200,
reeds_storage_mandate,2023,NV,4hr_battery_storage,200,
reeds_storage_mandate,2024,NV,4hr_battery_storage,400,
reeds_storage_mandate,2025,NV,4hr_battery_storage,400,
reeds_storage_mandate,2026,NV,4hr_battery_storage,600,
reeds_storage_mandate,2027,NV,4hr_battery_storage,600,
reeds_storage_mandate,2028,NV,4hr_battery_storage,800,
reeds_storage_mandate,2029,NV,4hr_battery_storage,800,
reeds_storage_mandate,2030,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2031,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2032,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2033,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2034,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2035,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2036,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2037,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2038,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2039,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2040,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2041,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2042,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2043,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2044,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2045,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2046,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2047,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2048,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2049,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2050,NV,4hr_battery_storage,1000,
reeds_storage_mandate,2019,NY,4hr_battery_storage,250,
reeds_storage_mandate,2020,NY,4hr_battery_storage,500,
reeds_storage_mandate,2021,NY,4hr_battery_storage,750,
reeds_storage_mandate,2022,NY,4hr_battery_storage,1000,
reeds_storage_mandate,2023,NY,4hr_battery_storage,1250,
reeds_storage_mandate,2024,NY,4hr_battery_storage,1500,
reeds_storage_mandate,2025,NY,4hr_battery_storage,1750,
reeds_storage_mandate,2026,NY,4hr_battery_storage,2000,
reeds_storage_mandate,2027,NY,4hr_battery_storage,2250,
reeds_storage_mandate,2028,NY,4hr_battery_storage,2500,
reeds_storage_mandate,2029,NY,4hr_battery_storage,2750,
reeds_storage_mandate,2030,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2031,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2032,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2033,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2034,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2035,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2036,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2037,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2038,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2039,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2040,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2041,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2042,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2043,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2044,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2045,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2046,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2047,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2048,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2049,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2050,NY,4hr_battery_storage,3000,
reeds_storage_mandate,2019,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2020,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2021,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2022,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2023,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2024,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2025,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2026,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2027,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2028,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2029,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2030,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2031,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2032,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2033,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2034,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2035,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2036,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2037,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2038,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2039,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2040,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2041,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2042,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2043,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2044,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2045,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2046,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2047,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2048,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2049,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2050,OR,4hr_battery_storage,2.5,
reeds_storage_mandate,2020,VA,4hr_battery_storage,42.7,
reeds_storage_mandate,2021,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2022,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2023,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2024,VA,4hr_battery_storage,248.3,
reeds_storage_mandate,2025,VA,4hr_battery_storage,275,
reeds_storage_mandate,2026,VA,4hr_battery_storage,275,
reeds_storage_mandate,2027,VA,4hr_battery_storage,275,
reeds_storage_mandate,2028,VA,4hr_battery_storage,275,
reeds_storage_mandate,2029,VA,4hr_battery_storage,275,
reeds_storage_mandate,2030,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2031,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2032,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2033,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2034,VA,4hr_battery_storage,1350,
reeds_storage_mandate,2035,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2036,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2037,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2038,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2039,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2040,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2041,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2042,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2043,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2044,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2045,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2046,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2047,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2048,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2049,VA,4hr_battery_storage,3100,
reeds_storage_mandate,2050,VA,4hr_battery_storage,3100,